brother,irmão,noun,I have a brother.,Eu tenho um irmão.,,,
sister,irmã,noun,She is my sister.,Ela é a minha irmã.,,,
to work,trabalhar,verb-regular,I work here.,Eu trabalho aqui.,trabalho|trabalhas|trabalha|trabalhamos|trabalhais|trabalham,trabalhei|trabalhaste|trabalhou|trabalhamos|trabalhastes|trabalharam,trabalhava|trabalhavas|trabalhava|trabalhávamos|trabalháveis|trabalhavam,trabalharei|trabalharás|trabalhará|trabalharemos|trabalhareis|trabalharão
to speak,falar,verb-regular,I speak Portuguese.,Eu falo português.,falo|falas|fala|falamos|falais|falam,falei|falaste|falou|falamos|falastes|falaram,falava|falavas|falava|falávamos|faláveis|falavam,falarei|falarás|falará|falaremos|falareis|falarão
to eat,comer,verb-regular,I eat bread.,Eu como pão.,como|comes|come|comemos|comeis|comem,comi|comeste|comeu|comemos|comestes|comeram,comia|comias|comia|comíamos|comíeis|comiam,comerei|comerás|comerá|comeremos|comereis|comerão
to live,viver,verb-regular,I live in Portugal.,Eu vivo em Portugal.,vivo|vives|vive|vivemos|viveis|vivem,vivi|viveste|viveu|vivemos|vivestes|viveram,vivia|vivias|vivia|vivíamos|vivíeis|viviam,viverei|viverás|viverá|viveremos|vivereis|viverão
to drink,beber,verb-regular,I drink water.,Eu bebo água.,bebo|bebes|bebe|bebemos|bebeis|bebem,bebi|bebeste|bebeu|bebemos|bebestes|beberam,bebia|bebias|bebia|bebíamos|bebíeis|bebiam,beberei|beberás|beberá|beberemos|bebereis|beberão
to learn,aprender,verb-regular,I learn Portuguese.,Eu aprendo português.,aprendo|aprendes|aprende|aprendemos|aprendeis|aprendem,aprendi|aprendeste|aprendeu|aprendemos|aprendestes|aprenderam,aprendia|aprendias|aprendia|aprendíamos|aprendíeis|aprendiam,aprenderei|aprenderás|aprenderá|aprenderemos|aprendereis|aprenderão
to study,estudar,verb-regular,I study every day.,Eu estudo todos os dias.,estudo|estudas|estuda|estudamos|estudais|estudam,estudei|estudaste|estudou|estudamos|estudastes|estudaram,estudava|estudavas|estudava|estudávamos|estudáveis|estudavam,estudarei|estudarás|estudará|estudaremos|estudareis|estudarão
to help,ajudar,verb-regular,I help you.,Eu ajudo-te.,ajudo|ajudas|ajuda|ajudamos|ajudais|ajudam,ajudei|ajudaste|ajudou|ajudamos|ajudastes|ajudaram,ajudava|ajudavas|ajudava|ajudávamos|ajudáveis|ajudavam,ajudarei|ajudarás|ajudará|ajudaremos|ajudareis|ajudarão
to need,precisar,verb-regular,I need help.,Eu preciso de ajuda.,preciso|precisas|precisa|precisamos|precisais|precisam,precisei|precisaste|precisou|precisamos|precisastes|precisaram,precisava|precisavas|precisava|precisávamos|precisáveis|precisavam,precisarei|precisarás|precisará|precisaremos|precisareis|precisarão
to like,gostar,verb-regular,I like coffee.,Eu gosto de café.,gosto|gostas|gosta|gostamos|gostais|gostam,gostei|gostaste|gostou|gostamos|gostastes|gostaram,gostava|gostavas|gostava|gostávamos|gostáveis|gostavam,gostarei|gostarás|gostará|gostaremos|gostareis|gostarão
to love,amar,verb-regular,I love you.,Eu amo-te.,amo|amas|ama|amamos|amais|amam,amei|amaste|amou|amamos|amastes|amaram,amava|amavas|amava|amávamos|amáveis|amavam,amarei|amarás|amará|amaremos|amareis|amarão
to buy,comprar,verb-regular,I buy bread.,Eu compro pão.,compro|compras|compra|compramos|comprais|compram,comprei|compraste|comprou|compramos|comprastes|compraram,comprava|compravas|comprava|comprávamos|compráveis|compravam,comprarei|comprarás|comprará|compraremos|comprareis|comprarão
to sell,vender,verb-regular,I sell products.,Eu vendo produtos.,vendo|vendes|vende|vendemos|vendeis|vendem,vendi|vendeste|vendeu|vendemos|vendestes|venderam,vendia|vendias|vendia|vendíamos|vendíeis|vendiam,venderei|venderás|venderá|venderemos|vendereis|venderão
to play,jogar,verb-regular,I play football.,Eu jogo futebol.,jogo|jogas|joga|jogamos|jogais|jogam,joguei|jogaste|jogou|jogamos|jogastes|jogaram,jogava|jogavas|jogava|jogávamos|jogáveis|jogavam,jogarei|jogarás|jogará|jogaremos|jogareis|jogarão
to wait,esperar,verb-regular,I wait for you.,Eu espero por ti.,espero|esperas|espera|esperamos|esperais|esperam,esperei|esperaste|esperou|esperamos|esperastes|esperaram,esperava|esperavas|esperava|esperávamos|esperáveis|esperavam,esperarei|esperarás|esperará|esperaremos|esperareis|esperarão
to arrive,chegar,verb-regular,I arrive late.,Eu chego atrasado.,chego|chegas|chega|chegamos|chegais|chegam,cheguei|chegaste|chegou|chegamos|chegastes|chegaram,chegava|chegavas|chegava|chegávamos|chegáveis|chegavam,chegarei|chegarás|chegará|chegaremos|chegareis|chegarão
to leave,deixar,verb-regular,I leave home.,Eu deixo a casa.,deixo|deixas|deixa|deixamos|deixais|deixam,deixei|deixaste|deixou|deixamos|deixastes|deixaram,deixava|deixavas|deixava|deixávamos|deixáveis|deixavam,deixarei|deixarás|deixará|deixaremos|deixareis|deixarão
to walk,andar,verb-regular,I walk every day.,Eu ando todos os dias.,ando|andas|anda|andamos|andais|andam,andei|andaste|andou|andamos|andastes|andaram,andava|andavas|andava|andávamos|andáveis|andavam,andarei|andarás|andará|andaremos|andareis|andarão
to run,correr,verb-regular,I run fast.,Eu corro rápido.,corro|corres|corre|corremos|correis|correm,corri|correste|correu|corremos|correstes|correram,corria|corrias|corria|corríamos|corríeis|corriam,correrei|correrás|correrá|correremos|correreis|correrão
to open,abrir,verb-regular,I open the door.,Eu abro a porta.,abro|abres|abre|abrimos|abris|abrem,abri|abriste|abriu|abrimos|abristes|abriram,abria|abrias|abria|abríamos|abríeis|abriam,abrirei|abrirás|abrirá|abriremos|abrireis|abrirão
to close,fechar,verb-regular,I close the window.,Eu fecho a janela.,fecho|fechas|fecha|fechamos|fechais|fecham,fechei|fechaste|fechou|fechamos|fechastes|fecharam,fechava|fechavas|fechava|fechávamos|fecháveis|fechavam,fecharei|fecharás|fechará|fecharemos|fechareis|fecharão
to write,escrever,verb-regular,I write a letter.,Eu escrevo uma carta.,escrevo|escreves|escreve|escrevemos|escreveis|escrevem,escrevi|escreveste|escreveu|escrevemos|escrevestes|escreveram,escrevia|escrevias|escrevia|escrevíamos|escrevíeis|escreviam,escreverei|escreverás|escreverá|escreveremos|escrevereis|escreverão
to read,ler,verb-irregular,I read books.,Eu leio livros.,leio|lês|lê|lemos|ledes|leem,li|leste|leu|lemos|lestes|leram,lia|lias|lia|líamos|líeis|liam,lerei|lerás|lerá|leremos|lereis|lerão
to understand,entender,verb-regular,I understand you.,Eu entendo-te.,entendo|entendes|entende|entendemos|entendeis|entendem,entendi|entendeste|entendeu|entendemos|entendestes|entenderam,entendia|entendias|entendia|entendíamos|entendíeis|entendiam,entenderei|entenderás|entenderá|entenderemos|entendereis|entenderão
to think,pensar,verb-regular,I think about you.,Eu penso em ti.,penso|pensas|pensa|pensamos|pensais|pensam,pensei|pensaste|pensou|pensamos|pensastes|pensaram,pensava|pensavas|pensava|pensávamos|pensáveis|pensavam,pensarei|pensarás|pensará|pensaremos|pensareis|pensarão
to believe,acreditar,verb-regular,I believe in you.,Eu acredito em ti.,acredito|acreditas|acredita|acreditamos|acreditais|acreditam,acreditei|acreditaste|acreditou|acreditamos|acreditastes|acreditaram,acreditava|acreditavas|acreditava|acreditávamos|acreditáveis|acreditavam,acreditarei|acreditarás|acreditará|acreditaremos|acreditareis|acreditarão
to find,encontrar,verb-regular,I find my keys.,Eu encontro as minhas chaves.,encontro|encontras|encontra|encontramos|encontrais|encontram,encontrei|encontraste|encontrou|encontramos|encontrastes|encontraram,encontrava|encontravas|encontrava|encontrávamos|encontráveis|encontravam,encontrarei|encontrarás|encontrará|encontraremos|encontrareis|encontrarão
to look,olhar,verb-regular,I look at you.,Eu olho para ti.,olho|olhas|olha|olhamos|olhais|olham,olhei|olhaste|olhou|olhamos|olhastes|olharam,olhava|olhavas|olhava|olhávamos|olháveis|olhavam,olharei|olharás|olhará|olharemos|olhareis|olharão
to hear,ouvir,verb-irregular,I hear you.,Eu ouço-te.,ouço|ouves|ouve|ouvimos|ouvis|ouvem,ouvi|ouviste|ouviu|ouvimos|ouvistes|ouviram,ouvia|ouvias|ouvia|ouvíamos|ouvíeis|ouviam,ouvirei|ouvirás|ouvirá|ouviremos|ouvireis|ouvirão
to listen,escutar,verb-regular,I listen to music.,Eu escuto música.,escuto|escutas|escuta|escutamos|escutais|escutam,escutei|escutaste|escutou|escutamos|escutastes|escutaram,escutava|escutavas|escutava|escutávamos|escutáveis|escutavam,escutarei|escutarás|escutará|escutaremos|escutareis|escutarão
to feel,sentir,verb-irregular,I feel happy.,Eu sinto-me feliz.,sinto|sentes|sente|sentimos|sentis|sentem,senti|sentiste|sentiu|sentimos|sentistes|sentiram,sentia|sentias|sentia|sentíamos|sentíeis|sentiam,sentirei|sentirás|sentirá|sentiremos|sentireis|sentirão
to try,tentar,verb-regular,I try my best.,Eu tento o meu melhor.,tento|tentas|tenta|tentamos|tentais|tentam,tentei|tentaste|tentou|tentamos|tentastes|tentaram,tentava|tentavas|tentava|tentávamos|tentáveis|tentavam,tentarei|tentarás|tentará|tentaremos|tentareis|tentarão
to use,usar,verb-regular,I use it daily.,Eu uso diariamente.,uso|usas|usa|usamos|usais|usam,usei|usaste|usou|usamos|usastes|usaram,usava|usavas|usava|usávamos|usáveis|usavam,usarei|usarás|usará|usaremos|usareis|usarão
to start,começar,verb-regular,I start work.,Eu começo o trabalho.,começo|começas|começa|começamos|começais|começam,comecei|começaste|começou|começamos|começastes|começaram,começava|começavas|começava|começávamos|começáveis|começavam,começarei|começarás|começará|começaremos|começareis|começarão
to finish,acabar,verb-regular,I finish my work.,Eu acabo o meu trabalho.,acabo|acabas|acaba|acabamos|acabais|acabam,acabei|acabaste|acabou|acabamos|acabastes|acabaram,acabava|acabavas|acabava|acabávamos|acabáveis|acabavam,acabarei|acabarás|acabará|acabaremos|acabareis|acabarão
to continue,continuar,verb-regular,I continue working.,Eu continuo a trabalhar.,continuo|continuas|continua|continuamos|continuais|continuam,continuei|continuaste|continuou|continuamos|continuastes|continuaram,continuava|continuavas|continuava|continuávamos|continuáveis|continuavam,continuarei|continuarás|continuará|continuaremos|continuareis|continuarão
to stop,parar,verb-regular,I stop the car.,Eu paro o carro.,paro|paras|para|paramos|parais|param,parei|paraste|parou|paramos|parastes|pararam,parava|paravas|parava|parávamos|paráveis|paravam,pararei|pararás|parará|pararemos|parareis|pararão
to stay,ficar,verb-regular,I stay at home.,Eu fico em casa.,fico|ficas|fica|ficamos|ficais|ficam,fiquei|ficaste|ficou|ficamos|ficastes|ficaram,ficava|ficavas|ficava|ficávamos|ficáveis|ficavam,ficarei|ficarás|ficará|ficaremos|ficareis|ficarão
to return,voltar,verb-regular,I return home.,Eu volto para casa.,volto|voltas|volta|voltamos|voltais|voltam,voltei|voltaste|voltou|voltamos|voltastes|voltaram,voltava|voltavas|voltava|voltávamos|voltáveis|voltavam,voltarei|voltarás|voltará|voltaremos|voltareis|voltarão
to bring,trazer,verb-irregular,I bring food.,Eu trago comida.,trago|trazes|traz|trazemos|trazeis|trazem,trouxe|trouxeste|trouxe|trouxemos|trouxestes|trouxeram,trazia|trazias|trazia|trazíamos|trazíeis|traziam,trarei|trarás|trará|traremos|trareis|trarão
to take,levar,verb-regular,I take the bus.,Eu levo o autocarro.,levo|levas|leva|levamos|levais|levam,levei|levaste|levou|levamos|levastes|levaram,levava|levavas|levava|levávamos|leváveis|levavam,levarei|levarás|levará|levaremos|levareis|levarão
good,bom,adjective,This is a good book.,Este é um bom livro.,,,
bad,mau,adjective,This is bad weather.,Este é mau tempo.,,,
big,grande,adjective,The house is big.,A casa é grande.,,,
small,pequeno,adjective,The room is small.,O quarto é pequeno.,,,
new,novo,adjective,I have a new car.,Eu tenho um carro novo.,,,
old,velho,adjective,This is an old house.,Esta é uma casa velha.,,,
young,jovem,adjective,She is young.,Ela é jovem.,,,
beautiful,bonito,adjective,The view is beautiful.,A vista é bonita.,,,
ugly,feio,adjective,That's ugly.,Isso é feio.,,,
hot,quente,adjective,The coffee is hot.,O café está quente.,,,
cold,frio,adjective,The water is cold.,A água está fria.,,,
happy,feliz,adjective,I am happy.,Eu estou feliz.,,,
sad,triste,adjective,She is sad.,Ela está triste.,,,
easy,fácil,adjective,This is easy.,Isto é fácil.,,,
difficult,difícil,adjective,This is difficult.,Isto é difícil.,,,
important,importante,adjective,This is important.,Isto é importante.,,,
interesting,interessante,adjective,The book is interesting.,O livro é interessante.,,,
boring,chato,adjective,The movie is boring.,O filme é chato.,,,
fast,rápido,adjective,The car is fast.,O carro é rápido.,,,
slow,lento,adjective,The turtle is slow.,A tartaruga é lenta.,,,
clean,limpo,adjective,The house is clean.,A casa está limpa.,,,
dirty,sujo,adjective,The shirt is dirty.,A camisa está suja.,,,
full,cheio,adjective,The glass is full.,O copo está cheio.,,,
empty,vazio,adjective,The bottle is empty.,A garrafa está vazia.,,,
strong,forte,adjective,He is strong.,Ele é forte.,,,
weak,fraco,adjective,I feel weak.,Eu sinto-me fraco.,,,
rich,rico,adjective,He is rich.,Ele é rico.,,,
poor,pobre,adjective,They are poor.,Eles são pobres.,,,
right,certo,adjective,You are right.,Tu tens razão.,,,
wrong,errado,adjective,This is wrong.,Isto está errado.,,,
free,livre,adjective,I am free today.,Eu estou livre hoje.,,,
busy,ocupado,adjective,I am busy.,Eu estou ocupado.,,,
tired,cansado,adjective,I am tired.,Eu estou cansado.,,,
hungry,com fome,expression,I am hungry.,Eu estou com fome.,,,
thirsty,com sede,expression,I am thirsty.,Eu estou com sede.,,,
sick,doente,adjective,I am sick.,Eu estou doente.,,,
healthy,saudável,adjective,I am healthy.,Eu sou saudável.,,,
ready,pronto,adjective,I am ready.,Eu estou pronto.,,,
late,atrasado,adjective,I am late.,Eu estou atrasado.,,,
early,cedo,adverb,I wake up early.,Eu acordo cedo.,,,
now,agora,adverb,Do it now.,Faz agora.,,,
today,hoje,adverb,Today is Monday.,Hoje é segunda-feira.,,,
tomorrow,amanhã,adverb,See you tomorrow.,Até amanhã.,,,
yesterday,ontem,adverb,I saw you yesterday.,Eu vi-te ontem.,,,
always,sempre,adverb,I always study.,Eu estudo sempre.,,,
never,nunca,adverb,I never smoke.,Eu nunca fumo.,,,
sometimes,às vezes,adverb,Sometimes I read.,Às vezes eu leio.,,,
often,frequentemente,adverb,I often travel.,Eu viajo frequentemente.,,,
already,já,adverb,I already ate.,Eu já comi.,,,
still,ainda,adverb,I am still here.,Eu ainda estou aqui.,,,
also,também,adverb,I also speak English.,Eu também falo inglês.,,,
too,demais,adverb,This is too much.,Isto é demais.,,,
very,muito,adverb,I am very tired.,Eu estou muito cansado.,,,
more,mais,adverb,I want more.,Eu quero mais.,,,
less,menos,adverb,Eat less.,Come menos.,,,
well,bem,adverb,I am well.,Eu estou bem.,,,
badly,mal,adverb,I sleep badly.,Eu durmo mal.,,,
here,aqui,adverb,Come here.,Vem aqui.,,,
there,ali,adverb,It's over there.,Está ali.,,,
where,onde,other,Where are you?,Onde estás?,,,
when,quando,other,When do you arrive?,Quando chegas?,,,
why,porquê,other,Why not?,Porquê não?,,,
how,como,other,How are you?,Como estás?,,,
what,o que,other,What is this?,O que é isto?,,,
who,quem,other,Who are you?,Quem és tu?,,,
which,qual,other,Which one?,Qual?,,,
yes,sim,other,Yes please.,Sim por favor.,,,
no,não,other,No thanks.,Não obrigado.,,,
please,por favor,expression,Water please.,Água por favor.,,,
thank you,obrigado,expression,Thank you very much.,Muito obrigado.,,,
sorry,desculpa,expression,I'm sorry.,Desculpa.,,,
excuse me,com licença,expression,Excuse me.,Com licença.,,,
hello,olá,expression,Hello friend.,Olá amigo.,,,
goodbye,adeus,expression,Goodbye.,Adeus.,,,
good morning,bom dia,expression,Good morning.,Bom dia.,,,
good afternoon,boa tarde,expression,Good afternoon.,Boa tarde.,,,
good night,boa noite,expression,Good night.,Boa noite.,,,
how are you,como estás,expression,How are you?,Como estás?,,,
nice to meet you,prazer em conhecer,expression,Nice to meet you.,Prazer em conhecer-te.,,,
see you later,até logo,expression,See you later.,Até logo.,,,
bread,pão,noun,I eat bread.,Eu como pão.,,,
coffee,café,noun,I drink coffee.,Eu bebo café.,,,
tea,chá,noun,I like tea.,Eu gosto de chá.,,,
milk,leite,noun,I drink milk.,Eu bebo leite.,,,
juice,sumo,noun,Orange juice please.,Sumo de laranja por favor.,,,
wine,vinho,noun,Red wine.,Vinho tinto.,,,
beer,cerveja,noun,A cold beer.,Uma cerveja gelada.,,,
meat,carne,noun,I eat meat.,Eu como carne.,,,
fish,peixe,noun,Fresh fish.,Peixe fresco.,,,
chicken,frango,noun,Grilled chicken.,Frango grelhado.,,,
rice,arroz,noun,I like rice.,Eu gosto de arroz.,,,
pasta,massa,noun,I eat pasta.,Eu como massa.,,,
potato,batata,noun,Fried potatoes.,Batatas fritas.,,,
vegetable,legume,noun,I eat vegetables.,Eu como legumes.,,,
fruit,fruta,noun,Fresh fruit.,Fruta fresca.,,,
apple,maçã,noun,I eat an apple.,Eu como uma maçã.,,,
banana,banana,noun,Yellow banana.,Banana amarela.,,,
orange,laranja,noun,Sweet orange.,Laranja doce.,,,
tomato,tomate,noun,Red tomato.,Tomate vermelho.,,,
cheese,queijo,noun,I like cheese.,Eu gosto de queijo.,,,
egg,ovo,noun,Fried egg.,Ovo estrelado.,,,
salt,sal,noun,Pass the salt.,Passa o sal.,,,
sugar,açúcar,noun,I don't use sugar.,Eu não uso açúcar.,,,
oil,azeite,noun,Olive oil.,Azeite de oliva.,,,
butter,manteiga,noun,Bread with butter.,Pão com manteiga.,,,
soup,sopa,noun,Hot soup.,Sopa quente.,,,
salad,salada,noun,Green salad.,Salada verde.,,,
dessert,sobremesa,noun,Chocolate dessert.,Sobremesa de chocolate.,,,
cake,bolo,noun,Birthday cake.,Bolo de aniversário.,,,
ice cream,gelado,noun,I like ice cream.,Eu gosto de gelado.,,,
restaurant,restaurante,noun,The restaurant is good.,O restaurante é bom.,,,
cafe,cafetaria,noun,I go to the cafe.,Eu vou à cafetaria.,,,
market,mercado,noun,I go to the market.,Eu vou ao mercado.,,,
shop,loja,noun,The shop is closed.,A loja está fechada.,,,
bank,banco,noun,I go to the bank.,Eu vou ao banco.,,,
hospital,hospital,noun,The hospital is near.,O hospital é perto.,,,
pharmacy,farmácia,noun,I need a pharmacy.,Eu preciso de uma farmácia.,,,
post office,correio,noun,Where is the post office?,Onde fica o correio?,,,
airport,aeroporto,noun,The airport is far.,O aeroporto é longe.,,,
station,estação,noun,Train station.,Estação de comboios.,,,
bus,autocarro,noun,I take the bus.,Eu apanho o autocarro.,,,
train,comboio,noun,The train is late.,O comboio está atrasado.,,,
taxi,táxi,noun,I call a taxi.,Eu chamo um táxi.,,,
bicycle,bicicleta,noun,I ride a bicycle.,Eu ando de bicicleta.,,,
hotel,hotel,noun,The hotel is expensive.,O hotel é caro.,,,
beach,praia,noun,I go to the beach.,Eu vou à praia.,,,
park,parque,noun,I walk in the park.,Eu passeio no parque.,,,
museum,museu,noun,The museum is interesting.,O museu é interessante.,,,
church,igreja,noun,Old church.,Igreja antiga.,,,
square,praça,noun,The main square.,A praça principal.,,,
bridge,ponte,noun,The bridge is beautiful.,A ponte é bonita.,,,
river,rio,noun,The river is clean.,O rio é limpo.,,,
sea,mar,noun,The sea is beautiful.,O mar é bonito.,,,
mountain,montanha,noun,High mountain.,Montanha alta.,,,
forest,floresta,noun,Green forest.,Floresta verde.,,,
garden,jardim,noun,Beautiful garden.,Jardim bonito.,,,
tree,árvore,noun,Big tree.,Árvore grande.,,,
flower,flor,noun,Pretty flowers.,Flores bonitas.,,,
sun,sol,noun,The sun shines.,O sol brilha.,,,
moon,lua,noun,Full moon.,Lua cheia.,,,
star,estrela,noun,Bright stars.,Estrelas brilhantes.,,,
sky,céu,noun,Blue sky.,Céu azul.,,,
cloud,nuvem,noun,White clouds.,Nuvens brancas.,,,
rain,chuva,noun,Heavy rain.,Chuva forte.,,,
wind,vento,noun,Strong wind.,Vento forte.,,,
snow,neve,noun,White snow.,Neve branca.,,,
weather,tempo,noun,Good weather.,Bom tempo.,,,
temperature,temperatura,noun,High temperature.,Temperatura alta.,,,
clothes,roupa,noun,Clean clothes.,Roupa limpa.,,,
shirt,camisa,noun,White shirt.,Camisa branca.,,,
t-shirt,t-shirt,noun,Blue t-shirt.,T-shirt azul.,,,
pants,calças,noun,Black pants.,Calças pretas.,,,
dress,vestido,noun,Pretty dress.,Vestido bonito.,,,
skirt,saia,noun,Short skirt.,Saia curta.,,,
jacket,casaco,noun,Warm jacket.,Casaco quente.,,,
coat,sobretudo,noun,Winter coat.,Sobretudo de inverno.,,,
shoes,sapatos,noun,Comfortable shoes.,Sapatos confortáveis.,,,
boots,botas,noun,Leather boots.,Botas de couro.,,,
socks,meias,noun,Warm socks.,Meias quentes.,,,
hat,chapéu,noun,Sun hat.,Chapéu de sol.,,,
glasses,óculos,noun,I wear glasses.,Eu uso óculos.,,,
watch,relógio,noun,My watch.,O meu relógio.,,,
phone,telefone,noun,Mobile phone.,Telefone móvel.,,,
computer,computador,noun,New computer.,Computador novo.,,,
internet,internet,noun,Fast internet.,Internet rápida.,,,
email,email,noun,Send an email.,Envia um email.,,,
television,televisão,noun,I watch television.,Eu vejo televisão.,,,
radio,rádio,noun,I listen to the radio.,Eu ouço rádio.,,,
newspaper,jornal,noun,Daily newspaper.,Jornal diário.,,,
magazine,revista,noun,Fashion magazine.,Revista de moda.,,,
letter,carta,noun,I write a letter.,Eu escrevo uma carta.,,,
